Pattern:only F1 main effect, Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000003, 0.058005, 0.686160) 
p-threshold:0.000191, bipolar ch: 53, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.221401, 0.235840) 
p-threshold:0.000191, bipolar ch: 59, stats:(F1 Amp,F2 Amp, interact)=(0.000118, 0.478991, 0.096412) 
p-threshold:0.000191, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.000010, 0.051000, 0.031923) 
p-threshold:0.000191, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.579793, 0.101698) 
p-threshold:0.000191, bipolar ch: 89, stats:(F1 Amp,F2 Amp, interact)=(0.000120, 0.000308, 0.761955) 
p-threshold:0.000191, bipolar ch:122, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.006643, 0.013615) 
p-threshold:0.000191, bipolar ch:131, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.053872, 0.517583) 
p-threshold:0.000191, bipolar ch:133, stats:(F1 Amp,F2 Amp, interact)=(0.000025, 0.003430, 0.089373) 
p-threshold:0.000191, bipolar ch:137, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.010741, 0.409106) 
p-threshold:0.000191, bipolar ch:141, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.009115, 0.549442) 
p-threshold:0.000191, bipolar ch:154, stats:(F1 Amp,F2 Amp, interact)=(0.000076, 0.029515, 0.040033) 
p-threshold:0.000191, bipolar ch:173, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.577612, 0.408581) 
p-threshold:0.000191, bipolar ch:174, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000667, 0.264617) 
p-threshold:0.000191, bipolar ch:175, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.001587, 0.168414) 
p-threshold:0.000191, bipolar ch:176, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.314839, 0.517969) 
Pattern:only F1 main effect, Type:snrsurr, Area:S1, Frequency of interest:200 
p-threshold:0.000191, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.001331, 0.141072) 
Pattern:only F1 main effect, Type:snrsurr, Area:S2, Frequency of interest:23 
p-threshold:0.000191, bipolar ch:  2, stats:(F1 Amp,F2 Amp, interact)=(0.000131, 0.022856, 0.197068) 
p-threshold:0.000191, bipolar ch:  7, stats:(F1 Amp,F2 Amp, interact)=(0.000009, 0.001163, 0.022863) 
p-threshold:0.000191, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.000009, 0.019925, 0.015258) 
p-threshold:0.000191, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.338768, 0.615833) 
p-threshold:0.000191, bipolar ch: 85, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.124812, 0.150630) 
Pattern:only F1 main effect, Type:snrsurr, Area:S2, Frequency of interest:200 
Pattern:only F1 main effect, Type:evkdpwr, Area:S1, Frequency of interest:23 
p-threshold:0.000166, bipolar ch: 23, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.022474, 0.807592) 
p-threshold:0.000166, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.062416, 0.771452) 
p-threshold:0.000166, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.000029, 0.012021, 0.006011) 
p-threshold:0.000166, bipolar ch: 49, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.127931, 0.067894) 
p-threshold:0.000166, bipolar ch: 53, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.003896, 0.174260) 
p-threshold:0.000166, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000440, 0.029598) 
p-threshold:0.000166, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.018897, 0.193479) 
p-threshold:0.000166, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.000027, 0.862579, 0.236169) 
p-threshold:0.000166, bipolar ch: 71, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.005976, 0.004513) 
p-threshold:0.000166, bipolar ch:121, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000206, 0.116014) 
p-threshold:0.000166, bipolar ch:139, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.067888, 0.673349) 
p-threshold:0.000166, bipolar ch:141, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.224414, 0.942321) 
p-threshold:0.000166, bipolar ch:142, stats:(F1 Amp,F2 Amp, interact)=(0.000048, 0.404287, 0.155657) 
p-threshold:0.000166, bipolar ch:154, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.820347, 0.076154) 
p-threshold:0.000166, bipolar ch:163, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.012913, 0.017872) 
p-threshold:0.000166, bipolar ch:164, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.507584, 0.000248) 
p-threshold:0.000166, bipolar ch:169, stats:(F1 Amp,F2 Amp, interact)=(0.000002, 0.063335, 0.308433) 
p-threshold:0.000166, bipolar ch:175, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000820, 0.012643) 
p-threshold:0.000166, bipolar ch:176, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.195915, 0.041284) 
p-threshold:0.000166, bipolar ch:177, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000560, 0.008801) 
Pattern:only F1 main effect, Type:evkdpwr, Area:S1, Frequency of interest:200 
Pattern:only F1 main effect, Type:evkdpwr, Area:S2, Frequency of interest:23 
p-threshold:0.000166, bipolar ch:  2, stats:(F1 Amp,F2 Amp, interact)=(0.000077, 0.004222, 0.559727) 
p-threshold:0.000166, bipolar ch: 11, stats:(F1 Amp,F2 Amp, interact)=(0.000033, 0.436281, 0.004452) 
p-threshold:0.000166, bipolar ch: 15, stats:(F1 Amp,F2 Amp, interact)=(0.000025, 0.025357, 0.001282) 
p-threshold:0.000166, bipolar ch: 17, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000183, 0.125490) 
p-threshold:0.000166, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.000014, 0.396234, 0.207223) 
p-threshold:0.000166, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.701101, 0.619096) 
p-threshold:0.000166, bipolar ch: 67, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.044201, 0.810439) 
p-threshold:0.000166, bipolar ch: 74, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.019576, 0.004956) 
p-threshold:0.000166, bipolar ch: 76, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000390, 0.025008) 
p-threshold:0.000166, bipolar ch: 85, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.006385, 0.008559) 
Pattern:only F1 main effect, Type:evkdpwr, Area:S2, Frequency of interest:200 
Pattern:Only F2 main effect, Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.042212, 0.000007, 0.123216) 
p-threshold:0.000191, bipolar ch:178, stats:(F1 Amp,F2 Amp, interact)=(0.938833, 0.000064, 0.528274) 
Pattern:Only F2 main effect, Type:snrsurr, Area:S1, Frequency of interest:200 
p-threshold:0.000191, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000324, 0.000000, 0.103493) 
p-threshold:0.000191, bipolar ch: 27, stats:(F1 Amp,F2 Amp, interact)=(0.879470, 0.000153, 0.287675) 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.138271, 0.000000, 0.529852) 
p-threshold:0.000191, bipolar ch: 36, stats:(F1 Amp,F2 Amp, interact)=(0.000425, 0.000000, 0.134479) 
p-threshold:0.000191, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.004977, 0.000000, 0.697210) 
p-threshold:0.000191, bipolar ch: 50, stats:(F1 Amp,F2 Amp, interact)=(0.003362, 0.000000, 0.319602) 
p-threshold:0.000191, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.497171, 0.000000, 0.600246) 
p-threshold:0.000191, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.453788, 0.000000, 0.234410) 
p-threshold:0.000191, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.120758, 0.000000, 0.040156) 
p-threshold:0.000191, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.280442, 0.000035, 0.718329) 
p-threshold:0.000191, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.131018, 0.000038, 0.459421) 
p-threshold:0.000191, bipolar ch: 72, stats:(F1 Amp,F2 Amp, interact)=(0.024759, 0.000000, 0.042272) 
p-threshold:0.000191, bipolar ch: 77, stats:(F1 Amp,F2 Amp, interact)=(0.810573, 0.000000, 0.562312) 
p-threshold:0.000191, bipolar ch:121, stats:(F1 Amp,F2 Amp, interact)=(0.285065, 0.000000, 0.509084) 
p-threshold:0.000191, bipolar ch:122, stats:(F1 Amp,F2 Amp, interact)=(0.005722, 0.000000, 0.036133) 
p-threshold:0.000191, bipolar ch:123, stats:(F1 Amp,F2 Amp, interact)=(0.050658, 0.000000, 0.212068) 
p-threshold:0.000191, bipolar ch:129, stats:(F1 Amp,F2 Amp, interact)=(0.322709, 0.000000, 0.981292) 
p-threshold:0.000191, bipolar ch:130, stats:(F1 Amp,F2 Amp, interact)=(0.278389, 0.000000, 0.812607) 
p-threshold:0.000191, bipolar ch:132, stats:(F1 Amp,F2 Amp, interact)=(0.017902, 0.000000, 0.404839) 
p-threshold:0.000191, bipolar ch:137, stats:(F1 Amp,F2 Amp, interact)=(0.723728, 0.000000, 0.306842) 
p-threshold:0.000191, bipolar ch:141, stats:(F1 Amp,F2 Amp, interact)=(0.076010, 0.000000, 0.467032) 
p-threshold:0.000191, bipolar ch:143, stats:(F1 Amp,F2 Amp, interact)=(0.004840, 0.000000, 0.205574) 
p-threshold:0.000191, bipolar ch:149, stats:(F1 Amp,F2 Amp, interact)=(0.001867, 0.000000, 0.007727) 
p-threshold:0.000191, bipolar ch:150, stats:(F1 Amp,F2 Amp, interact)=(0.102308, 0.000000, 0.015971) 
p-threshold:0.000191, bipolar ch:151, stats:(F1 Amp,F2 Amp, interact)=(0.757626, 0.000000, 0.965576) 
p-threshold:0.000191, bipolar ch:155, stats:(F1 Amp,F2 Amp, interact)=(0.631495, 0.000000, 0.398821) 
p-threshold:0.000191, bipolar ch:159, stats:(F1 Amp,F2 Amp, interact)=(0.355528, 0.000000, 0.040120) 
p-threshold:0.000191, bipolar ch:160, stats:(F1 Amp,F2 Amp, interact)=(0.409398, 0.000151, 0.673580) 
p-threshold:0.000191, bipolar ch:165, stats:(F1 Amp,F2 Amp, interact)=(0.001655, 0.000000, 0.043055) 
p-threshold:0.000191, bipolar ch:168, stats:(F1 Amp,F2 Amp, interact)=(0.063341, 0.000001, 0.223844) 
p-threshold:0.000191, bipolar ch:177, stats:(F1 Amp,F2 Amp, interact)=(0.159297, 0.000000, 0.729230) 
p-threshold:0.000191, bipolar ch:178, stats:(F1 Amp,F2 Amp, interact)=(0.945923, 0.000000, 0.351412) 
p-threshold:0.000191, bipolar ch:180, stats:(F1 Amp,F2 Amp, interact)=(0.233640, 0.000109, 0.395045) 
Pattern:Only F2 main effect, Type:snrsurr, Area:S2, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 19, stats:(F1 Amp,F2 Amp, interact)=(0.174431, 0.000000, 0.003444) 
p-threshold:0.000191, bipolar ch: 51, stats:(F1 Amp,F2 Amp, interact)=(0.000575, 0.000000, 0.037316) 
Pattern:Only F2 main effect, Type:snrsurr, Area:S2, Frequency of interest:200 
p-threshold:0.000191, bipolar ch:  4, stats:(F1 Amp,F2 Amp, interact)=(0.308832, 0.000001, 0.803596) 
p-threshold:0.000191, bipolar ch: 12, stats:(F1 Amp,F2 Amp, interact)=(0.865214, 0.000005, 0.805026) 
p-threshold:0.000191, bipolar ch: 19, stats:(F1 Amp,F2 Amp, interact)=(0.964417, 0.000000, 0.378109) 
p-threshold:0.000191, bipolar ch: 21, stats:(F1 Amp,F2 Amp, interact)=(0.242652, 0.000001, 0.641432) 
p-threshold:0.000191, bipolar ch: 25, stats:(F1 Amp,F2 Amp, interact)=(0.391504, 0.000000, 0.920523) 
p-threshold:0.000191, bipolar ch: 31, stats:(F1 Amp,F2 Amp, interact)=(0.603077, 0.000041, 0.390889) 
p-threshold:0.000191, bipolar ch: 36, stats:(F1 Amp,F2 Amp, interact)=(0.344174, 0.000000, 0.066459) 
p-threshold:0.000191, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000194, 0.000000, 0.071961) 
p-threshold:0.000191, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.014676, 0.000000, 0.091058) 
p-threshold:0.000191, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.485408, 0.000000, 0.245130) 
p-threshold:0.000191, bipolar ch: 47, stats:(F1 Amp,F2 Amp, interact)=(0.000575, 0.000000, 0.000473) 
p-threshold:0.000191, bipolar ch: 48, stats:(F1 Amp,F2 Amp, interact)=(0.706186, 0.000000, 0.413214) 
p-threshold:0.000191, bipolar ch: 49, stats:(F1 Amp,F2 Amp, interact)=(0.785988, 0.000000, 0.689529) 
p-threshold:0.000191, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.018776, 0.000086, 0.292952) 
p-threshold:0.000191, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.022563, 0.000006, 0.155653) 
p-threshold:0.000191, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.668449, 0.000000, 0.089308) 
p-threshold:0.000191, bipolar ch: 62, stats:(F1 Amp,F2 Amp, interact)=(0.259966, 0.000000, 0.008046) 
p-threshold:0.000191, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.167537, 0.000000, 0.568821) 
p-threshold:0.000191, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.000218, 0.000000, 0.092401) 
p-threshold:0.000191, bipolar ch: 70, stats:(F1 Amp,F2 Amp, interact)=(0.518022, 0.000000, 0.218314) 
p-threshold:0.000191, bipolar ch: 74, stats:(F1 Amp,F2 Amp, interact)=(0.342217, 0.000028, 0.869449) 
p-threshold:0.000191, bipolar ch: 77, stats:(F1 Amp,F2 Amp, interact)=(0.388491, 0.000009, 0.115621) 
p-threshold:0.000191, bipolar ch: 82, stats:(F1 Amp,F2 Amp, interact)=(0.000728, 0.000000, 0.002176) 
p-threshold:0.000191, bipolar ch: 83, stats:(F1 Amp,F2 Amp, interact)=(0.148406, 0.000000, 0.008096) 
p-threshold:0.000191, bipolar ch: 86, stats:(F1 Amp,F2 Amp, interact)=(0.856217, 0.000056, 0.303572) 
p-threshold:0.000191, bipolar ch: 87, stats:(F1 Amp,F2 Amp, interact)=(0.079222, 0.000000, 0.058024) 
p-threshold:0.000191, bipolar ch: 91, stats:(F1 Amp,F2 Amp, interact)=(0.267743, 0.000000, 0.645498) 
p-threshold:0.000191, bipolar ch: 92, stats:(F1 Amp,F2 Amp, interact)=(0.409195, 0.000000, 0.057031) 
p-threshold:0.000191, bipolar ch: 93, stats:(F1 Amp,F2 Amp, interact)=(0.578866, 0.000001, 0.734591) 
p-threshold:0.000191, bipolar ch: 95, stats:(F1 Amp,F2 Amp, interact)=(0.018871, 0.000000, 0.267322) 
p-threshold:0.000191, bipolar ch: 97, stats:(F1 Amp,F2 Amp, interact)=(0.000452, 0.000000, 0.020844) 
p-threshold:0.000191, bipolar ch: 99, stats:(F1 Amp,F2 Amp, interact)=(0.487584, 0.000000, 0.482085) 
p-threshold:0.000191, bipolar ch:100, stats:(F1 Amp,F2 Amp, interact)=(0.592950, 0.000078, 0.299289) 
p-threshold:0.000191, bipolar ch:103, stats:(F1 Amp,F2 Amp, interact)=(0.323482, 0.000000, 0.005633) 
p-threshold:0.000191, bipolar ch:104, stats:(F1 Amp,F2 Amp, interact)=(0.550040, 0.000000, 0.340847) 
p-threshold:0.000191, bipolar ch:106, stats:(F1 Amp,F2 Amp, interact)=(0.269437, 0.000000, 0.088994) 
p-threshold:0.000191, bipolar ch:112, stats:(F1 Amp,F2 Amp, interact)=(0.000912, 0.000000, 0.000534) 
Pattern:Only F2 main effect, Type:evkdpwr, Area:S1, Frequency of interest:23 
p-threshold:0.000166, bipolar ch: 31, stats:(F1 Amp,F2 Amp, interact)=(0.000460, 0.000000, 0.000495) 
p-threshold:0.000166, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.003079, 0.000000, 0.000588) 
p-threshold:0.000166, bipolar ch:112, stats:(F1 Amp,F2 Amp, interact)=(0.009985, 0.000028, 0.025576) 
p-threshold:0.000166, bipolar ch:123, stats:(F1 Amp,F2 Amp, interact)=(0.384651, 0.000051, 0.058193) 
p-threshold:0.000166, bipolar ch:140, stats:(F1 Amp,F2 Amp, interact)=(0.343510, 0.000000, 0.056703) 
p-threshold:0.000166, bipolar ch:143, stats:(F1 Amp,F2 Amp, interact)=(0.185451, 0.000011, 0.178139) 
p-threshold:0.000166, bipolar ch:160, stats:(F1 Amp,F2 Amp, interact)=(0.000720, 0.000004, 0.012392) 
p-threshold:0.000166, bipolar ch:161, stats:(F1 Amp,F2 Amp, interact)=(0.302398, 0.000084, 0.180436) 
p-threshold:0.000166, bipolar ch:171, stats:(F1 Amp,F2 Amp, interact)=(0.003729, 0.000010, 0.034254) 
p-threshold:0.000166, bipolar ch:178, stats:(F1 Amp,F2 Amp, interact)=(0.207225, 0.000017, 0.023978) 
p-threshold:0.000166, bipolar ch:180, stats:(F1 Amp,F2 Amp, interact)=(0.310634, 0.000000, 0.457629) 
Pattern:Only F2 main effect, Type:evkdpwr, Area:S1, Frequency of interest:200 
p-threshold:0.000166, bipolar ch: 23, stats:(F1 Amp,F2 Amp, interact)=(0.207375, 0.000000, 0.007823) 
p-threshold:0.000166, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.000208, 0.000004, 0.004936) 
p-threshold:0.000166, bipolar ch: 25, stats:(F1 Amp,F2 Amp, interact)=(0.002979, 0.000000, 0.515465) 
p-threshold:0.000166, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.053959, 0.000000, 0.295258) 
p-threshold:0.000166, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.107434, 0.000000, 0.282168) 
p-threshold:0.000166, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.315060, 0.000001, 0.098627) 
p-threshold:0.000166, bipolar ch: 41, stats:(F1 Amp,F2 Amp, interact)=(0.521992, 0.000000, 0.009601) 
p-threshold:0.000166, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.291704, 0.000000, 0.635728) 
